Running float version...

Testing matrix size: 91 
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     float   x64     00001   00362   0,0301  0,6355
Java_ver(A)     float   x64     00002   00362   0,0304  0,6413
Java_ver(A)     float   x64     00003   00362   0,0303  0,6392
Java_ver(A)     float   x64     00004   00362   0,0304  0,6402
Java_ver(B)     float   x64     00000   00362   0,0389  0,8203
Java_ver(B)     float   x64     00001   00362   0,0347  0,7314
Java_ver(B)     float   x64     00002   00362   0,0344  0,7252
Java_ver(B)     float   x64     00003   00362   0,0333  0,7019
Java_ver(B)     float   x64     00004   00362   0,0333  0,7025
Java_ver(C)     float   x64     00000   00362   0,0214  0,4515
Java_ver(C)     float   x64     00001   00362   0,0156  0,3296
Java_ver(C)     float   x64     00002   00362   0,0138  0,2907
Java_ver(C)     float   x64     00003   00362   0,0139  0,2923
Java_ver(C)     float   x64     00004   00362   0,0141  0,2969
Java_ver(D)     float   x64     00000   00362   0,0183  0,3857
Java_ver(D)     float   x64     00001   00362   0,0136  0,2863
Java_ver(D)     float   x64     00002   00362   0,0143  0,3007
Java_ver(D)     float   x64     00003   00362   0,0135  0,2846
Java_ver(D)     float   x64     00004   00362   0,0133  0,2809
Java_ver(E)     float   x64     00000   00362   0,0475  1,0015
Java_ver(E)     float   x64     00001   00362   0,0506  1,0668
Java_ver(E)     float   x64     00002   00362   0,0617  1,3011
Java_ver(E)     float   x64     00003   00362   0,0536  1,1309
Java_ver(E)     float   x64     00004   00362   0,0540  1,1380
Java_ver(F)     float   x64     00000   00362   0,0510  1,0760
Java_ver(F)     float   x64     00001   00362   0,0470  0,9897
Java_ver(F)     float   x64     00002   00362   0,0582  1,2269
Java_ver(F)     float   x64     00003   00362   0,0590  1,2434
Java_ver(F)     float   x64     00004   00362   0,0564  1,1889

Testing matrix size: 400
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     float   x64     00000   00400   0,0448  0,6999
Java_ver(A)     float   x64     00001   00400   0,0451  0,7042
Java_ver(A)     float   x64     00002   00400   0,0425  0,6638
Java_ver(A)     float   x64     00003   00400   0,0452  0,7057
Java_ver(A)     float   x64     00004   00400   0,0426  0,6651
Java_ver(B)     float   x64     00000   00400   0,0489  0,7646
Java_ver(B)     float   x64     00001   00400   0,0438  0,6849
Java_ver(B)     float   x64     00002   00400   0,0447  0,6988
Java_ver(B)     float   x64     00003   00400   0,0454  0,7090
