PS C:\Users\usuario\Downloads\proyecto arquicomp>
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy By
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy By
pass -File .\run_python_tests.ps1
PS C:\Users\usuario\Downloads\proyecto arquicomp>
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy 
Bypass -File .\run_python_tests.ps1























Running Python tests for all matrix sizes...
Py_ver(B)       double  x64     00002   00157   0.9315  240.7113
Py_ver(B)       double  x64     00003   00157   0.9327  241.0205
Py_ver(B)       double  x64     00004   00157   0.9031  233.3746
Py_ver(C)       double  x64     00000   00157   1.1113  287.1691
Py_ver(C)       double  x64     00001   00157   1.0628  274.6450
Py_ver(C)       double  x64     00002   00157   1.0857  280.5514
Py_ver(C)       double  x64     00003   00157   1.0071  260.2508
Py_ver(C)       double  x64     00004   00157   1.0988  283.9286
Py_ver(D)       double  x64     00000   00157   1.1115  287.2057
Py_ver(D)       double  x64     00001   00157   1.0620  274.4309
Py_ver(D)       double  x64     00002   00157   1.0616  274.3356
Py_ver(D)       double  x64     00003   00157   1.0942  282.7382
Py_ver(D)       double  x64     00004   00157   1.0959  283.1970
Py_ver(E)       double  x64     00000   00157   1.0750  277.7753
Py_ver(E)       double  x64     00001   00157   1.0469  270.5170
Py_ver(E)       double  x64     00002   00157   1.0965  283.3328
Py_ver(E)       double  x64     00003   00157   1.0895  281.5196
Py_ver(E)       double  x64     00004   00157   1.0498  271.2695
Py_ver(F)       double  x64     00000   00157   1.0666  275.6097
Py_ver(F)       double  x64     00001   00157   1.0255  264.9847
Py_ver(F)       double  x64     00002   00157   1.0601  273.9237
Py_ver(F)       double  x64     00003   00157   1.1277  291.3983
Py_ver(F)       double  x64     00004   00157   1.0529  272.0703

Testing matrix size: 181
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       float   x64     00000   00181   1.4606  246.3240
Py_ver(A)       float   x64     00001   00181   1.4100  237.7797
Py_ver(A)       float   x64     00002   00181   1.4226  239.9147
Py_ver(A)       float   x64     00003   00181   1.4193  239.3523
Py_ver(A)       float   x64     00004   00181   1.4332  241.6970
Py_ver(B)       float   x64     00000   00181   1.4622  246.5794
Py_ver(B)       float   x64     00001   00181   1.3983  235.8157
Py_ver(B)       float   x64     00002   00181   1.3839  233.3832
Py_ver(B)       float   x64     00003   00181   1.5442  260.4196
Py_ver(B)       float   x64     00004   00181   1.4343  241.8884
Py_ver(C)       float   x64     00000   00181   1.6527  278.7063
Py_ver(C)       float   x64     00001   00181   1.6625  280.3641
Py_ver(C)       float   x64     00002   00181   1.6963  286.0651
Py_ver(C)       float   x64     00003   00181   1.6207  273.3099
Py_ver(C)       float   x64     00004   00181   1.6089  271.3256
Py_ver(D)       float   x64     00000   00181   1.6114  271.7411
Py_ver(D)       float   x64     00001   00181   1.7152  289.2461
Py_ver(D)       float   x64     00002   00181   1.7310  291.9185
Py_ver(D)       float   x64     00003   00181   1.6025  270.2514
Py_ver(D)       float   x64     00004   00181   1.5744  265.5039
Py_ver(E)       float   x64     00000   00181   1.6959  286.0002
Py_ver(E)       float   x64     00001   00181   1.6385  276.3235
Py_ver(E)       float   x64     00002   00181   1.6580  279.6158
Py_ver(E)       float   x64     00003   00181   1.6571  279.4600
Py_ver(E)       float   x64     00004   00181   1.6569  279.4190
